ENSEMBL,ENTREZID,SYMBOL,DZQV_Plasmablasts,X925L_Plasmablasts,X9JD4_Plasmablasts,G4YW_Plasmablasts,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000072571,3161,HMMR,7.887405,2.95052,4.489357,1.8422791,1.400880003,0.879526,0.50977,0.578206
ENSG00000038274,27430,MAT2B,74.436957,90.778791,92.59783,88.178929,222.811168,191.299697,262.83206,197.04959
ENSG00000241956,102546299,LOC102546299,3.2488761,2.136466,2.3316897,3.8082107,4.991206,13.704507,12.834586,8.575063
ENSG00000254130,102557615,LINC01947,0,0,0,0,0,0,0.286346,0
ENSG00000253469,101927908,LOC101927908,0,0,0,0,0,0,0,0
ENSG00000145934,57451,TENM2,0,0,0,0,0,0,0,1.37801
ENSG00000253978,101927862,CTB-178M22.2,0,0,0,0,0,0,0,0.381841
ENSG00000113645,23286,WWC1,1.9735963,1.4187399,1.7484967,0.0370917,0.4792404,0.3461565,0.1269845,0.0597255
ENSG00000113643,5917,RARS1,32.389784,32.55110009,34.87451,39.529237,39.25696,59.417415,67.52913354,70.142013
ENSG00000188573,345630,FBLL1,0,0,0,0,0,0,0,0
ENSG00000120137,79646,PANK3,2.831364,2.719891,2.235306,1.90728,9.377199,11.096585,12.33518,6.734472
ENSG00000199035,406895,MIR103A1,0,0,0,0,0,0,0,0
ENSG00000283612,100302238,MIR103B1,0,0,0,0,0,0,0,0
ENSG00000184347,6586,SLIT3,0.0430485,0.050084,0.0233013,0,0.145407,0.397212,0.299538,0.2220826
ENSG00000207739,407001,MIR218-2,0,0,0,0,0,0,0,0
ENSG00000207619,693170,MIR585,0,0,0,0,0,0,0,0
ENSG00000040275,54908,SPDL1,8.9898315,3.676505,6.848071,3.765676,9.631605,15.3820415,11.710486,7.927652391
ENSG00000134516,1794,DOCK2,32.0816061,21.67725834,55.1358406,32.7558831,174.60997,258.08619,180.091906,203.520852
ENSG00000204767,100131897,INSYN2B,0.217562,0.270067,0.3852652,0.271944,5.71002,6.40675,3.76442,2.70173
ENSG00000263831,100616498,MIR378E,0,0,0,2.72342,16.6034,0,9.9519,5.22041
ENSG00000168269,2299,FOXI1,0,0,0.426712,0,0,0,0,0
ENSG00000234511,133874,C5orf58,0,0.0265627,0.0504299,0.118152,3.02721,0,0,0.335653
ENSG00000043462,3937,LCP2,8.687124,5.9775006,7.4043796,5.71431,84.926533,14.941145,9.295735,21.726179
ENSG00000250274,100128059,LOC100128059,0.211968,0,0,0,0.667921,0.737219,0.100989,0
ENSG00000235172,257358,LINC01366,0.595454546,0,0.125949,0.089935,0.827329,0,1.3749689,1.062514
ENSG00000182132,30820,KCNIP1,0,0,0,0,0,0,0,0
ENSG00000145936,3779,KCNMB1,0.411073,0.330895,0.283561,0.424226,2.840718,1.41321,1.959571,2.71797
ENSG00000253647,101928033,KCNIP1-OT1,0.0428549,0,0,0,0.110619,0.231944,0.101016,0.120681
ENSG00000253591,105377716,KCNIP1-AS1,0,0,0,0,0,0,0,0
ENSG00000094755,2568,GABRP,1.587545,0.348277,0.851544,0.164987,3.179120019,5.66863,3.85325,9.462652
ENSG00000204764,64901,RANBP17,1.3137382,1.2225109,1.4914172,1.369747,3.664256,6.4372164,7.1053605,6.8945535
ENSG00000164438,30012,TLX3,0,0,0,0,0,0,0,0
ENSG00000206909,109616973,SNORA70J,0,0,0,0,0,0,0,0
ENSG00000264249,100500831,MIR3912,0,0,0,0,0,0,0,0
ENSG00000181163,4869,NPM1,465.906584,343.3311358,264.7368715,308.0173431,568.051219,452.242022,637.2978,641.97462
ENSG00000156427,8817,FGF18,0,0,0,0,0,0,0,0
ENSG00000185662,644994,SMIM23,0.0377116,0.229115,0.337567,0,0,0,0,0
ENSG00000072803,23291,FBXW11,17.826467,26.31364,26.709432,13.1397605,83.881878,135.169363,77.725631,76.95479
ENSG00000072786,6793,STK10,23.954039,16.565448,26.974405,31.852695,117.949407,167.10515,103.759488,110.441554
ENSG00000214360,285588,EFCAB9,0,0,0,0,0,0,0,0
ENSG00000168246,92181,UBTD2,0.381667,0.228301,0.654557,0.444717,1.02988,2.13854,1.32821,1.62426
ENSG00000174705,285590,SH3PXD2B,0.0165637,0,0,0,0,0,0.2751831,0
ENSG00000254299,105377728,LINC01944,0,0,0,0,0,0,0,0
ENSG00000214357,54492,NEURL1B,0,0,0,0,0,0.0310475,0,0.0170333
ENSG00000265160,100847029,MIR5003,0,0,0,0,0,0,0,0
ENSG00000253295,101928093,LOC101928093,0,0,0,0,0.436622,0,0,0
ENSG00000120129,1843,DUSP1,203.606,131.382,77.2422,5.95615,110.08,2818.21,2445.45,2388.06
ENSG00000113719,57222,ERGIC1,28.720073,20.5057203,38.0408249,32.003297,49.16514,58.894054,50.903378,41.02272
ENSG00000204758,100268168,LOC100268168,0.1404542,0.0580925,0.430602,0.618947,0.875074,1.773965,1.01875,3.461832
ENSG00000037241,51121,RPL26L1,5.735321,5.810186,5.402783,3.37507,10.51719,4.88575,6.56374,1.635663
ENSG00000113732,8992,ATP6V0E1,27.29016,36.57078,29.0158359,34.270518,108.57832,117.1708,85.05438,162.47208
