ENSEMBL,ENTREZID,SYMBOL,DZQV_CD8_naive,X925L_CD8_naive,X9JD4_CD8_naive,G4YW_CD8_naive,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000284394,100616314,MIR4750,0,0,0,0,0,0,0,0
ENSG00000104951,259307,IL4I1,0,3.568559,0.0639627,0,2.19448,0.210252,1.188352,3.022787
ENSG00000213024,23636,NUP62,35.511956,45.227709,39.54068327,24.47588622,43.78228814,56.982983,41.62261632,41.9067
ENSG00000169136,22809,ATF5,1.460962,3.410776,3.241355,2.023642,2.315178,2.206439,2.373574,2.76604
ENSG00000283842,100616483,MIR4751,0,0,0,0,0,0,0,0
ENSG00000161640,114132,SIGLEC11,0.430934,0.34451,0.196064,0.446204,0.5248987,0.812344,1.16096,0.809699
ENSG00000161643,400709,SIGLEC16,0.06537,0.449157,0.0862857,0.0852836,0.935437,0,0.1523359,0.105979
ENSG00000105053,51231,VRK3,106.741419,93.274714,99.232826,87.862862,114.527326,68.428482,88.243539,71.77268266
ENSG00000142528,25888,ZNF473,15.051548,13.88547,14.325875,7.908372,6.348541,9.694487,12.233583,6.661703
ENSG00000204666,400710,LOC400710,0.689514,0,0.0827303,0.581471,0,0,0.379691,0.210031
ENSG00000161652,126123,IZUMO2,4.00032,6.25153,3.13571,3.75464,4.64843,7.0892,6.14965,2.79487
ENSG00000105357,79784,MYH14,0.307104,0.144225,0.153878,0.308005,0.154746,0.450005,0.62034,0.308303
ENSG00000131398,3748,KCNC3,0,0,0,0,0.069781,0.0616332,0.190053,0.135367
ENSG00000131408,7376,NR1H2,102.944695,85.498852,89.33868175,73.82817101,135.3810903,67.516912,91.021319,71.316826
ENSG00000131401,256236,NAPSB,0.133635,0.186796,0.116838,0.27856208,227.39473,130.26231,198.626934,201.04801
ENSG00000131400,9476,NAPSA,5.824414,1.83599,5.54752,4.17710919,3.031069,4.39605,6.559581,5.613426
ENSG00000062822,5424,POLD1,15.018605,37.98125152,24.164161,26.83503608,23.37137713,37.82699986,12.483073,29.01494001
ENSG00000269404,6689,SPIB,1.54451,3.574058,2.833551,1.226762,282.0829265,185.3038,312.60817,335.38347
ENSG00000086967,4606,MYBPC2,0,0,0,0,7.53572,4.39927,3.46502,1.7252
ENSG00000142530,112703,FAM71E1,0,0.930418,0,0,0.309442,0,0,1.269911
ENSG00000161671,284361,EMC10,5.58798,9.028376,9.671264,9.356554,7.46602,5.326168039,7.426462,11.487252
ENSG00000161677,126119,JOSD2,8.433040045,2.652227,11.41698,8.550719,4.613542,4.59436,4.667475,7.772666
ENSG00000204653,554235,ASPDH,2.79603,3.518427,0.459753,0,0,0,3.160177,0.130091
ENSG00000131409,94030,LRRC4B,0.2379317,0,0.192081,0,0,0,0,0
ENSG00000213023,84258,SYT3,0.332646,1.160644,1.911806,1.848,0,0.902602,0,0.0472322
ENSG00000235034,342918,C19orf81,0,0.685547,0,0,0,0,0.384064,0
ENSG00000161681,50944,SHANK1,2.09879,4.7059938,4.7512744,2.349677,0.83224,2.17678,3.10809,1.28805
ENSG00000105472,6320,CLEC11A,0.875877,1.60027,2.161888,2.58534,0.273679552,0.359845,1.07455,0.177328
ENSG00000142511,2854,GPR32,0,0,0,0,0,0,0,0.10145
ENSG00000261341,105372440,LOC105372440,2.297,7.55725,2.55696,4.67701,2.05204,6.22316,4.74204,6.5659
ENSG00000142513,93650,ACP4,0,0.464455,0.0931541,0.420904,0,0.171353,0,0.754988
ENSG00000167747,84798,C19orf48,48.187883,41.85122117,59.479326,61.18515,27.376816,30.732345,45.86047,54.43280689
ENSG00000221381,692203,SNORD88B,0,0,0,0,0,0,0,0
ENSG00000221241,692202,SNORD88A,0,15.2663,0,11.7498,0,0,4.0844,4.36007
ENSG00000220988,692204,SNORD88C,0,0,0,0,0,0,0,0
ENSG00000180279,284365,LINC01869,0,0,0,0,0,0,0.6925,0
ENSG00000167748,3816,KLK1,0,0,0,0,3.34087,1.601648,1.337703,3.79834
ENSG00000174562,55554,KLK15,0,0,0,0,0,0,0,0
ENSG00000267968,105372441,LOC105372441,0,0,0,0,0,0,0,0
ENSG00000142515,354,KLK3,0,0,0,0,0,0,0,0
ENSG00000167751,3817,KLK2,1.87279,6.18816,3.04522,5.52275,1.254399,1.53067,1.95146,5.6981348
ENSG00000197588,606293,KLKP1,0.166022,0,0,0.104869,0,0.213551,0,0.118458
ENSG00000167749,9622,KLK4,0.266316,0,0,0,0,0,0,0
ENSG00000167754,25818,KLK5,0,0,0,0,0,0,0,0
ENSG00000167755,5653,KLK6,0,0,0,0,0,0,0,0
ENSG00000169035,5650,KLK7,0.100847,0.495444,0.346496,0.131082,0.0738088,0.93377,0.384694,0.0723375
ENSG00000129455,11202,KLK8,0,0,0,0,0,0,0,0
ENSG00000213022,284366,KLK9,0,0,0,0,0,0,0,0
ENSG00000129451,5655,KLK10,0.663276,0.693862,0.620641,0.846627,0.257158,0.3048652,1.103539,0.805883
ENSG00000167757,11012,KLK11,0.779432,0.861053,0.542348,0.592341,0.57197,0.80613,0.574472,0.886037
ENSG00000186474,43849,KLK12,0,0,0,0,0,0,0,0
ENSG00000167759,26085,KLK13,0,0,0,0,0,0,0,0
ENSG00000129437,43847,KLK14,0.357906,0.382648,0.124845,0.338999,0,0.230146,0.354096,0
